date,open,high,low,close,volume,sma,rsi,sma_200,distance_from_sma_200,volatility_100,position_in_200_range
2023-09-03,25832,26040,25819,26002,8203515572.755595,26280.666666666668,40.46874892657924,27552.195,-0.05626393831780008,0.021647714180315074,0.5155300761529905
2023-09-04,26002,26105,25732,25884,8301138495.084562,26218.333333333332,39.64439482086634,27558.82,-0.06077255847674174,0.02165202067790509,0.5054333875246
2023-09-05,25884,25907,25581,25676,6700578092.438599,26190.833333333332,38.16846819145247,27563.09,-0.06846438479865646,0.021457169243053374,0.487635834688115
2023-09-06,25676,25999,25394,25656,7633735596.705433,26165.833333333332,38.02189044978662,27568.37,-0.06936826515314468,0.0214522056227541,0.48592453153076065
2023-09-07,25657,25952,25609,25877,12225427270.62692,26153.166666666668,40.73047086418291,27575.16,-0.061582960896691075,0.021456886567218027,0.504834431419526
2023-09-08,25877,26414,25664,25882,4521997781.160889,26133.916666666668,40.793513608638605,27580.535,-0.06158455591960054,0.0212474221547905,0.5052622572088645
2023-09-09,25883,25926,25804,25868,8058794338.820984,26124.5,40.66309283955573,27587.54,-0.06233031288762973,0.02124049892424228,0.5040643449987166
2023-09-10,25868,25910,25608,25800,404806432.5216888,25953.5,39.99425805999416,27597.585,-0.06513559066853129,0.021193874035910668,0.49824591426371184
2023-09-11,25800,26006,24963,25006,6603006234.083502,25772.166666666668,33.13991151395463,27602.92,-0.09408135081360952,0.02140739564352838,0.4303071789167451
2023-09-12,25006,26503,24926,26074,14859931201.000029,25764.916666666668,46.43729879859233,27617.175,-0.05587736616797335,0.021836492953753433,0.5216907675194661
2023-09-13,26074,26395,25777,26156,16825266473.04872,25809.416666666668,47.303872205438196,27633.335,-0.053462059501685165,0.02102950500551203,0.5287071104646188
2023-09-14,26156,26824,26153,26686,12975855576.243193,25880.583333333332,52.63751656063272,27648.535,-0.0348132369400404,0.02033053618907085,0.5740566441345084
2023-09-15,26686,26710,26227,26410,11739428177.432598,25914.583333333332,49.810156294446614,27663.97,-0.04532863504406638,0.02023114367746271,0.5504406605630188
2023-09-16,26410,26872,26384,26542,9768889419.723415,25969.416666666668,51.161293475360246,27680.27,-0.04112206997980874,0.0202360328934095,0.5617352614015573
2023-09-17,26542,26616,26444,26512,1224363671.9175522,26039.083333333332,50.826401323456274,27695.76,-0.04274156044102052,0.020228637445140404,0.5591683066655257
2023-09-18,26512,27420,26413,26834,5791146184.464804,26137.25,54.28530583782999,27712.61,-0.03170433964899014,0.020101589384304362,0.5867202874989305
2023-09-19,26834,27491,26678,27198,16477839825.05836,26247.333333333332,57.891174500305254,27737.085,-0.019435531888084098,0.020112665928337183,0.6178660049627791
