Date,Open,High,Low,Close,Volume
2024-01-03,"44,818","45,490","40,838","42,740",39089952715.54279
2024-01-04,"42,739","44,640","42,624","44,180",43146162597.56747
2024-01-05,"44,180","44,781","42,708","43,997",26123887042.79777
2024-01-06,"43,997","44,318","43,467","43,856",29364675804.010384
2024-01-07,"43,856","44,487","43,780","44,158",11841102132.239351
2024-01-08,"44,158","47,257","43,240","46,799",15144653805.362787
2024-01-09,"46,800","47,228","45,808","46,651",40821502383.50064
2024-01-10,"46,651","47,902","44,386","46,159",39887918405.77868
2024-01-11,"46,159","49,042","45,227","46,221",52030057180.57072
2024-01-12,"46,220","46,498","43,196","43,656",49198128806.306175
2024-01-13,"43,656","43,845","41,595","42,861",45913301456.05085
2024-01-14,"42,861","43,057","42,336","42,491",19424747840.478382
2024-01-15,"42,491","43,313","41,696","42,895",16968959097.076525
2024-01-16,"42,895","43,383","42,076","43,170",22634527323.56315
2024-01-17,"43,171","43,558","42,186","42,648",22023116042.27529
2024-01-18,"42,646","42,873","40,618","40,786",21299064875.187115
2024-01-19,"40,776","42,132","40,280","41,513",25160430945.28984
2024-01-20,"41,515","41,770","41,436","41,714",24407872954.726807
2024-01-21,"41,715","41,848","41,525","41,626",9533488489.00503
2024-01-22,"41,627","41,770","39,424","40,123",8032696833.695371
2024-01-23,"40,124","40,138","38,515","39,162",31202848830.101707
2024-01-24,"39,159","40,502","39,043","39,563",29683327703.0343
2024-01-25,"39,553","40,266","39,468","39,766",22217129215.385586
2024-01-26,"39,769","42,213","39,769","41,975",13376924612.77818
2024-01-27,"41,975","42,065","41,409","42,056",22681602408.52447
2024-01-28,"42,056","42,809","41,686","41,943",10694258830.371908
2024-01-29,"41,943","43,292","41,659","43,158",13669905344.783924
2024-01-30,"43,158","43,834","43,077","43,560",20680322267.00365
2024-01-31,"43,560","43,726","42,342","42,519",24526664209.3586
2024-02-01,"42,519","43,251","41,872","42,979",22197944957.07849
2024-02-02,"42,980","43,430","42,559","42,932",22443682768.722225
2024-02-03,"42,931","43,348","42,878","43,049",18624791426.13084
2024-02-04,"43,049","43,092","42,556","42,852",7779819312.310763
2024-02-05,"42,852","43,506","42,253","42,375",11250814654.362
2024-02-06,"42,374","43,351","42,295","43,074",18682275991.6268
2024-02-07,"43,074","44,238","42,770","44,116",17131113853.23615
2024-02-08,"44,116","45,600","44,116","45,508",21200879624.73537
2024-02-09,"45,508","48,153","45,263","47,543",27709605138.49859
2024-02-10,"47,544","48,155","46,900","47,894",41993952311.122856
2024-02-11,"47,894","48,580","47,596","48,055",16461159742.317774
2024-02-12,"48,055","50,314","47,734","50,190",13196875460.84672
2024-02-13,"50,190","50,369","48,380","49,424",37684440686.70893
2024-02-14,"49,424","52,052","49,282","51,713",37331081151.024765
2024-02-15,"51,714","52,839","51,518","51,721",41805076939.80903
2024-02-16,"51,721","52,580","51,370","51,842",31991869491.056656
2024-02-17,"51,843","52,246","50,662","51,533",24850432117.896576
2024-02-18,"51,533","52,056","51,216","51,791",19851884283.15723
2024-02-19,"51,791","52,489","51,708","51,811",17025880430.565874
2024-02-20,"51,811","52,974","50,789","52,018",22555121071.55909
2024-02-21,"52,018","52,509","50,677","50,978",34499627551.319275
2024-02-22,"50,978","52,019","50,927","51,963",30624246621.0974
2024-02-23,"51,963","52,001","50,640","51,101",23733644208.80861
2024-02-24,"51,101","51,680","50,543","51,510",22637679779.741
2024-02-25,"51,510","51,955","51,298","51,738",15528276123.53668
